group,nll_drop_mean,nll_drop_std
Oil_identity,0.0997307616333734,0.026508143446786005
Surfactant_identity,0.07279974673013423,0.03136964836702528
Cosurfactant_identity,0.01840190980189571,0.01874702792801867
Oil+Surfactant_identity,0.19549129075003271,0.047520281005691674
Oil+Cosurfactant_identity,0.14340584547250584,0.03224877577586535
Surfactant+Cosurfactant_identity,0.14428952962915895,0.048393059508535057
Oil+Surfactant+Cosurfactant_identity,0.3070636857918749,0.06529159524368783
HLB,0.060705786667304064,0.022618641154103857
Compatibility,0.04755531774125906,0.013025924361144959
Oil_V,0.058035888328454965,0.015273116940818898
S_Ratio,0.010163711156640174,0.004889421434367924
Sonication,0.001109101869541551,0.003083576672986929
